race,age,English,gender,hand,source,country,Openness,Conscieniousness,Extroversion,Agreeableness,Emotional Balance
Caucasian (European),25,1,1,1,Test Website,GB,28,40,28,37,30
Caucasian (European),14,1,0,1,Other Source,GB,37,26,12,33,17
Mixed Race,17,0,3,1,Test Website,BR,42,21,15,34,17
Caucasian (Middle East),16,0,0,0,Test Website,EG,38,26,15,32,22
No Response,45,1,1,1,Test Website,CA,40,42,17,40,24
Caucasian (European),18,0,0,1,Google,PT,32,29,29,42,26
Caucasian (European),23,1,0,1,Test Website,US,38,30,30,46,13
Mixed Race,24,1,0,1,Google,CA,45,29,40,46,30
Caucasian (European),32,1,1,1,Test Website,US,45,40,31,45,33
Caucasian (European),28,1,1,1,Test Website,AU,44,30,24,21,41
Caucasian (European),26,1,0,1,Test Website,GB,41,32,36,46,21
Caucasian (European),63,1,0,1,Test Website,US,36,38,37,37,17
Mixed Race2,18,0,0,1,Other Source,HU,44,21,33,34,40
Caucasian (European),21,0,1,1,Test Website,DE,47,33,26,44,25
Caucasian (European),70,1,0,1,Test Website,NZ,18,36,10,30,27
Caucasian (European),40,1,0,1,Test Website,AU,41,18,13,35,20
Caucasian (European),17,0,1,1,Test Website,BR,40,34,24,33,23
Caucasian (European),21,1,0,1,Google,US,39,36,21,46,15
Mixed Race,34,1,1,1,Test Website,SA,28,29,31,37,24
Caucasian (European),57,1,1,1,Test Website,US,45,41,37,49,38
Mixed Race,30,1,0,1,Test Website,US,43,40,43,48,36
Caucasian (European),25,1,0,1,Google,US,44,19,32,39,13
Caucasian (European),25,1,1,1,Test Website,CA,41,29,25,24,31
Mixed Race,20,1,0,1,Test Website,US,27,30,29,40,33
Mixed Race,17,1,0,1,Other Source,US,31,25,42,45,28
Mixed Race,26,0,0,1,Test Website,AU,30,37,31,32,26
Caucasian (European),24,1,0,1,Test Website,US,30,23,27,47,25
Caucasian (European),22,1,0,1,Test Website,US,49,30,32,39,39
Mixed Race,16,0,0,1,Test Website,PH,46,28,14,37,32
Caucasian (North African),16,1,0,2,Test Website,US,50,46,28,39,12
Mixed Race,19,0,1,1,Other Source,MY,27,29,31,36,25
Caucasian (Indian),19,0,1,1,Test Website,IN,36,29,18,22,34
Caucasian (European),18,1,1,1,Test Website,CA,46,37,45,46,25
Caucasian (European),16,1,1,1,Test Website,US,46,22,39,40,40
Mixed Race,16,1,3,1,Test Website,US,43,29,27,32,19
Mixed Race,23,0,1,1,Google,KR,39,35,34,36,19
Caucasian (European),29,0,0,1,Test Website,US,30,21,29,40,28
Mixed Race,25,1,0,1,Test Website,CA,28,40,29,41,19
Caucasian (European),19,1,1,1,Test Website,US,45,35,22,50,29
Caucasian (European),18,1,1,1,Test Website,US,38,38,19,25,33
Caucasian (Indian),23,0,1,1,Test Website,IN,42,18,25,34,30
Caucasian (European),16,1,1,1,Test Website,US,43,33,41,43,49
Caucasian (European),27,1,1,1,Google,AE,39,38,13,43,29
Mixed Race,19,0,1,1,Test Website,BR,37,35,20,36,21
Caucasian (European),20,1,0,1,Test Website,US,44,38,39,44,28
Caucasian (European),14,1,1,1,Test Website,US,40,39,30,27,22
Caucasian (European),15,1,0,0,Test Website,US,16,29,18,49,30
Mixed Race,25,1,1,1,Other Source,US,44,45,25,50,39
Caucasian (Middle East),20,1,0,1,Test Website,US,45,50,27,50,46
Mixed Race,20,1,0,1,Test Website,US,46,50,34,36,43
Mixed Race,17,1,1,0,Test Website,JP,41,32,22,22,29
Caucasian (European),27,1,0,1,Test Website,US,37,30,32,42,35
Caucasian (Indian),18,0,0,1,Test Website,IN,30,26,45,46,18
Mixed Race,15,1,0,1,Facebook,US,39,23,22,32,13
Caucasian (Indian),23,0,0,1,Test Website,IN,37,40,14,38,25
Mixed Race,23,0,1,1,Test Website,PK,35,35,22,33,24
Caucasian (European),27,1,0,1,Test Website,US,33,31,28,37,29
Mixed Race,15,0,1,1,Test Website,DO,40,37,31,18,31
Caucasian (Indian),20,0,1,1,Test Website,US,47,30,27,34,25
Mixed Race,20,0,1,1,Test Website,MY,35,35,38,36,29
Mixed Race,30,0,1,0,Test Website,PK,18,38,37,42,22
Caucasian (European),21,0,0,1,Other Source,TR,48,45,39,46,31
Caucasian (European),70,1,0,2,Test Website,US,44,43,19,49,40
Mixed Race,17,0,0,1,Test Website,PH,30,35,19,26,24
Caucasian (Indian),31,0,0,1,Google,QA,41,39,37,36,37
Caucasian (Indian),24,0,1,1,Test Website,IN,28,27,25,43,31
Caucasian (European),21,1,0,1,Test Website,US,27,39,16,44,27
Caucasian (European),27,1,1,1,Test Website,IE,45,50,35,44,46
Mixed Race,16,0,1,1,Other Source,MX,46,24,28,38,36
Mixed Race2,16,1,1,1,Google,US,43,24,25,49,24
Caucasian (European),45,1,1,1,Other Source,GB,46,28,26,42,34
Caucasian (European),17,1,0,0,Test Website,AU,40,43,33,38,30
Caucasian (European),14,1,0,1,Test Website,US,42,31,14,27,21
Caucasian (Indian),20,0,1,1,Test Website,IN,40,38,29,43,16
Caucasian (European),18,1,1,1,Test Website,AU,39,27,38,44,31
Indigenous,56,1,0,1,Test Website,AU,45,36,28,45,31
Caucasian (European),23,1,0,1,Test Website,US,50,43,9,42,18
Caucasian (European),16,0,0,1,Other Source,FI,42,38,24,39,31
Caucasian (European),44,1,0,1,Google,AU,43,44,42,39,42
Mixed Race,17,0,0,1,Test Website,PH,29,30,25,33,18
Caucasian (Indian),20,0,0,1,Test Website,IN,45,36,31,38,36
Caucasian (European),49,1,1,1,Google,GB,39,36,21,35,34
Mixed Race,21,1,1,1,Other Source,MY,31,35,31,33,21
Caucasian (Indian),1994,0,1,1,Test Website,BD,33,35,26,38,27
Caucasian (Indian),20,0,0,1,Google,IN,34,36,32,42,24
Mixed Race,21,0,0,2,Google,VN,47,46,23,37,44
Mixed Race,16,1,1,1,Test Website,AE,46,35,42,32,44
Mixed Race,13,1,0,1,Test Website,AU,43,34,32,43,25
Mixed Race,25,0,1,1,Test Website,IN,42,34,38,44,21
Caucasian (European),25,1,1,2,Test Website,NZ,40,37,34,36,26
Caucasian (Indian),22,0,1,1,Test Website,US,48,22,25,31,22
Caucasian (Indian),23,0,1,1,Test Website,IN,45,28,26,41,38
Caucasian (European),23,0,0,1,Facebook,DK,36,47,34,40,27
Caucasian (European),41,1,1,1,Google,US,33,33,16,31,24
Mixed Race,43,1,0,0,Test Website,US,31,24,29,39,27
Caucasian (European),23,0,0,1,Facebook,DK,48,36,37,46,37
Mixed Race,18,0,1,1,Test Website,AR,44,24,36,34,31
Caucasian (European),19,0,1,1,Test Website,AL,41,29,13,31,25
Caucasian (European),23,0,0,1,Facebook,DK,39,40,28,45,36
Caucasian (European),21,0,1,1,Facebook,DK,40,19,33,41,28
Mixed Race,18,0,0,1,Other Source,PH,35,37,20,34,30
Caucasian (European),16,1,0,0,Test Website,GB,36,21,22,38,22
Caucasian (Indian),22,0,0,1,Test Website,IN,37,34,40,43,32
Mixed Race,22,0,0,1,Test Website,MY,40,34,28,43,35
Caucasian (European),29,1,0,1,Test Website,AU,33,28,28,31,25
Mixed Race,37,0,1,1,Other Source,SG,39,47,20,47,31
Caucasian (European),21,0,1,1,Facebook,DK,38,34,26,32,40
Mixed Race,38,1,0,1,Test Website,AU,40,33,17,30,32
Caucasian (European),28,0,0,2,Other Source,RS,46,39,34,37,34
Mixed Race,17,1,0,0,Test Website,US,48,40,40,42,30
Caucasian (European),33,1,0,1,Test Website,US,47,37,39,37,25
Caucasian (European),34,1,1,1,Test Website,GB,41,44,35,45,45
Caucasian (European),23,0,0,1,Facebook,DK,42,38,36,44,39
Caucasian (European),36,1,1,1,Google,CA,42,32,31,26,34
Mixed Race,21,0,1,1,Other Source,MY,26,30,23,32,32
Caucasian (European),15,1,0,1,Test Website,GB,45,31,22,41,15
Caucasian (European),20,0,1,1,Test Website,DE,44,31,28,43,23
Caucasian (European),16,0,0,1,Test Website,SK,50,42,12,42,18
Mixed Race,17,1,0,1,Test Website,GB,41,32,31,39,27
Mixed Race,21,0,1,1,Other Source,MY,27,36,25,38,28
Caucasian (European),37,1,1,1,Test Website,US,41,40,29,38,32
Caucasian (European),22,1,1,1,Other Source,US,38,40,17,39,24
Caucasian (European),37,1,1,1,Test Website,AU,43,32,41,39,30
Caucasian (North African),21,1,0,1,Test Website,ZA,34,28,37,42,22
Caucasian (Indian),20,0,1,1,Test Website,IN,33,37,38,41,25
Mixed Race,18,0,0,1,Other Source,PH,43,26,37,39,30
Caucasian (European),23,1,0,1,Other Source,IE,32,39,32,43,32
Caucasian (Indian),27,0,1,1,Other Source,IN,41,43,38,48,38
Caucasian (European),44,1,1,1,Test Website,US,41,40,18,37,26
Caucasian (Indian),17,0,0,1,Test Website,IN,34,30,17,39,21
Mixed Race,20,0,0,0,Other Source,MY,28,39,22,32,27
Caucasian (European),23,1,0,1,Test Website,AU,48,38,29,43,28
Mixed Race,18,0,0,1,Other Source,PK,38,30,45,46,14
Mixed Race,25,0,1,1,Google,CA,39,37,33,40,48
Caucasian (North African),31,1,0,1,Google,US,41,33,26,44,32
Mixed Race,19,0,1,1,Other Source,MY,30,35,27,39,36
Mixed Race,16,1,0,1,Other Source,SG,36,43,14,43,22
Caucasian (European),49,1,1,1,Test Website,GB,46,45,28,40,39
North East Asian,21,0,0,1,Other Source,JP,44,27,27,22,15
Caucasian (North African),31,0,0,1,Other Source,CA,41,31,15,33,17
Caucasian (European),32,0,0,1,Test Website,CA,50,23,39,48,12
Caucasian (European),17,1,0,2,Test Website,GB,23,27,35,37,36
Mixed RaceNo Response,23,0,0,1,Other Source,PT,27,32,26,32,30
Caucasian (European),23,0,0,1,Other Source,DK,46,33,21,32,18
Mixed Race,21,0,0,1,Other Source,PK,41,41,40,48,34
Mixed Race,21,0,0,1,Test Website,MY,36,34,17,35,33
Mixed Race,21,1,1,1,Test Website,US,44,39,35,43,35
Mixed Race,18,1,0,0,Test Website,US,39,40,41,45,42
Mixed Race,29,0,1,0,Test Website,IN,39,24,21,36,21
Caucasian (North African),18,0,0,1,Test Website,AE,32,40,14,33,33
Mixed Race2,32,1,1,1,Other Source,NG,44,35,39,41,44
Caucasian (European),37,0,0,1,Facebook,DK,39,28,25,45,28
Caucasian (European),25,0,0,0,Test Website,BG,47,42,24,46,22
Mixed Race,45,0,0,1,Test Website,US,34,33,32,33,27
Mixed Race,22,1,0,1,Other Source,US,46,34,41,47,32
Caucasian (European),23,0,0,1,Facebook,DK,45,41,30,44,40
Caucasian (European),25,0,1,1,Google,AT,42,35,22,38,30
Caucasian (Indian),34,1,0,1,Test Website,IN,30,32,21,40,25
Caucasian (European),34,1,0,2,Google,CA,47,50,39,50,50
Mixed Race,50,1,0,1,Test Website,GB,32,32,36,49,31
Caucasian (European),25,0,0,1,Facebook,DK,36,32,43,43,44
Caucasian (European),16,1,0,0,Test Website,US,45,26,15,45,11
Caucasian (European),37,0,1,1,Test Website,CY,48,37,28,32,29
Mixed Race,14,0,1,1,Test Website,US,35,30,33,40,22
Caucasian (European),18,0,0,1,Test Website,NL,45,27,26,36,18
Caucasian (European),19,1,0,0,Test Website,US,44,32,32,38,25
Caucasian (European),44,1,0,1,Test Website,GB,42,37,30,34,32
Caucasian (Middle East),25,0,1,1,Google,AU,29,29,26,34,21
Caucasian (European),19,1,0,1,Test Website,GB,45,34,31,38,20
Caucasian (European),18,0,1,1,Test Website,RO,45,43,17,35,31
Caucasian (European),41,1,0,1,Test Website,IE,50,36,37,44,22
Caucasian (European),19,1,0,1,Test Website,FR,40,29,16,39,19
Caucasian (Indian),19,0,1,1,Test Website,IN,22,30,25,29,28
Caucasian (European),21,0,0,1,Facebook,DK,32,41,27,40,24
Caucasian (European),22,1,0,0,Other Source,US,41,43,27,50,38
Mixed Race,27,0,0,1,Other Source,US,35,38,27,35,24
Caucasian (European),15,1,0,1,Test Website,GB,44,24,33,37,34
Caucasian (Indian),18,0,0,1,Test Website,IN,21,21,19,28,29
Caucasian (European),20,1,0,1,Test Website,US,37,32,26,38,26
Caucasian (European),42,0,1,1,Test Website,DO,45,41,40,37,30
Caucasian (European),14,1,0,0,Test Website,GB,44,30,20,33,21
Mixed Race,22,0,1,1,Test Website,SV,41,24,35,40,30
Caucasian (European),23,0,0,1,Google,GR,39,44,31,46,37
Caucasian (European),21,1,0,1,Test Website,US,47,38,45,50,40
Caucasian (European),36,0,0,1,Test Website,US,33,43,25,34,15
Mixed Race2,14,1,0,1,Test Website,GB,46,20,39,28,30
Mixed Race,22,0,0,1,Test Website,PK,35,39,22,41,21
Caucasian (European),22,1,0,1,Other Source,NZ,43,38,24,44,32
Mixed Race,39,1,1,1,Test Website,US,45,36,29,49,30
Caucasian (European),28,0,0,1,Test Website,PL,36,26,12,18,25
Mixed Race,21,0,1,1,Test Website,ID,35,28,17,28,29
Caucasian (European),25,1,0,1,Test Website,US,46,32,29,48,33
Mixed Race,21,1,0,0,Google,US,29,36,24,37,29
Caucasian (European),25,1,0,1,Google,US,45,38,41,47,40
Mixed Race,20,1,1,1,Test Website,DE,44,38,40,42,38
Mixed Race,23,0,0,1,Google,US,35,34,34,40,42
Caucasian (European),29,1,1,1,Test Website,ES,42,29,32,39,48
Caucasian (North African),44,1,0,1,Test Website,US,38,42,38,43,24
No Response,16,0,0,0,Test Website,AU,40,32,25,42,22
Caucasian (European),22,1,0,1,Google,US,44,25,29,44,19
Caucasian (European),27,1,0,1,Google,CA,44,26,31,38,23
Caucasian (European),19,1,1,1,Test Website,US,47,16,19,41,24
Caucasian (Middle East),27,1,0,2,Google,US,39,33,37,39,22
Mixed Race,17,0,0,1,Test Website,IN,37,24,35,35,25
Caucasian (European),19,1,0,1,Test Website,US,38,29,16,41,30
Caucasian (Indian),27,1,1,1,Google,US,44,25,16,38,43
Mixed Race,20,1,1,1,Other Source,US,43,42,27,47,20
Caucasian (European),14,1,0,1,Test Website,US,41,32,32,41,29
Caucasian (European),33,1,1,0,.edu website,US,45,42,33,48,37
Mixed Race,13,0,0,1,Test Website,PR,48,46,25,49,27
Mixed Race,26,0,0,1,Test Website,AT,32,15,25,44,30
Caucasian (European),16,1,0,0,Test Website,GB,42,35,40,45,25
Caucasian (European),35,0,0,1,Test Website,DK,41,26,35,44,26
Caucasian (European),19,1,0,1,Test Website,US,47,31,21,44,25
Caucasian (European),22,0,0,1,Test Website,HR,37,40,23,27,24
Caucasian (European),63,1,0,1,Facebook,US,38,38,35,49,38
Caucasian (North African),56,1,0,0,Test Website,CA,45,37,28,31,30
Caucasian (European),57,1,0,1,Other Source,US,47,20,43,43,17
Caucasian (Indian),45,1,0,1,Test Website,US,37,43,38,42,43
Caucasian (European),23,1,0,1,Google,US,40,34,20,49,32
Caucasian (European),27,1,0,1,Other Source,US,41,42,35,28,22
Caucasian (European),49,1,0,1,Test Website,US,46,35,16,41,16
Caucasian (European),21,1,0,1,Other Source,US,25,26,17,37,15
Caucasian (European),44,1,3,1,Test Website,GB,46,29,41,44,33
Caucasian (European),20,1,0,1,Google,US,38,35,27,36,26
Caucasian (European),14,1,1,1,Other Source,US,46,28,18,31,26
Mixed Race,67,1,0,1,Facebook,US,34,44,38,37,31
Mixed Race,34,1,0,1,Test Website,BR,30,34,24,37,35
Caucasian (European),23,1,1,1,Other Source,US,49,29,32,41,26
Caucasian (Indian),29,0,1,1,Google,CA,43,35,24,33,37
Caucasian (European),25,1,0,1,Test Website,NZ,43,32,44,46,30
Caucasian (European),15,1,0,1,Test Website,US,33,35,38,47,19
Caucasian (European),22,1,0,1,Test Website,ES,39,31,37,45,27
Mixed Race,16,1,0,1,Test Website,US,26,39,31,20,14
Caucasian (European),43,1,0,1,Google,NZ,42,30,23,48,19
Caucasian (European),51,1,1,1,Google,US,39,31,25,39,36
Mixed Race,14,1,0,1,Test Website,US,34,33,20,41,33
Caucasian (North African),21,1,0,0,Other Source,US,40,31,25,24,19
Caucasian (European),19,0,0,1,Test Website,IT,28,29,20,34,25
Mixed RaceNo Response,18,0,0,0,Test Website,PH,40,37,14,42,15
Caucasian (European),20,1,1,1,Test Website,GB,41,33,19,31,24
Caucasian (European),44,1,0,1,Other Source,US,36,35,42,42,47
Caucasian (North African),31,1,1,1,.edu website,US,33,31,17,40,22
North East Asian,25,0,1,1,Test Website,US,36,35,32,31,28
Mixed Race,55,1,0,2,Test Website,US,37,37,35,41,36
Caucasian (European),69,1,0,1,Test Website,US,49,47,39,45,47
Caucasian (European),18,1,0,1,Test Website,US,40,36,14,49,21
Mixed Race,14,0,0,1,Test Website,VE,39,24,27,40,15
Caucasian (European),17,1,0,1,Test Website,US,30,30,13,41,28
Caucasian (European),20,0,1,2,Test Website,AR,40,38,21,41,14
Caucasian (European),23,1,0,1,Test Website,US,40,22,43,49,30
Caucasian (European),22,1,0,1,Test Website,US,48,34,11,49,43
Mixed Race2,26,0,1,1,Test Website,US,46,40,27,42,38
No Response,21,1,0,1,Test Website,US,46,44,26,33,27
Caucasian (Indian),44,0,1,1,Test Website,US,33,35,19,31,34
Caucasian (European),50,1,0,1,Test Website,US,38,37,29,40,35
Caucasian (European),48,1,1,1,Test Website,NZ,25,35,21,32,38
Caucasian (European),29,1,0,1,Google,US,40,40,39,43,31
Caucasian (European),58,1,0,1,Google,US,40,36,36,48,32
Mixed Race,21,0,0,1,Test Website,PH,39,41,22,43,21
Caucasian (European),20,1,0,1,Other Source,US,44,41,31,49,24
Caucasian (European),17,1,0,1,Test Website,US,50,37,45,42,23
Mixed Race,13,0,0,1,Test Website,US,39,26,23,38,20
Caucasian (European),16,1,0,1,Google,US,35,18,9,45,33
Caucasian (European),29,1,0,1,Test Website,US,45,23,38,47,32
Caucasian (European),20,1,0,1,Test Website,US,42,24,28,40,25
Mixed Race,17,1,0,1,Test Website,US,47,23,23,34,29
Mixed Race,19,1,0,0,Google,CA,42,46,39,50,45
Mixed Race,28,0,1,1,Test Website,TH,47,32,15,44,19
Caucasian (European),18,1,0,1,Test Website,US,40,31,17,46,16
Caucasian (Middle East),18,1,0,1,Test Website,US,32,27,16,35,21
Mixed Race,22,0,1,0,Test Website,MY,48,30,41,29,19
Caucasian (European),18,1,0,1,Test Website,AU,40,25,44,39,36
Caucasian (European),45,1,0,1,Test Website,AU,49,45,28,38,20
Caucasian (Indian),23,0,1,1,Test Website,IN,37,33,26,36,35
Caucasian (European),34,1,0,1,Test Website,CA,39,35,32,48,16
Mixed Race2,30,0,1,1,Test Website,MX,38,33,24,34,41
Mixed Race,16,1,0,1,Test Website,US,40,28,12,42,17
Caucasian (European),19,1,0,0,Google,NZ,31,22,19,44,33
Mixed Race,22,1,1,1,Test Website,PH,29,29,29,34,25
Mixed Race,18,1,1,2,Test Website,US,40,33,24,35,35
Caucasian (European),17,1,0,0,Google,US,44,27,36,44,42
Caucasian (European),44,0,1,1,Other Source,DE,44,38,32,24,50
Mixed Race,30,1,1,0,Test Website,AU,41,18,34,45,33
Mixed Race,26,1,1,1,Google,US,35,34,31,33,34
Caucasian (European),30,1,0,1,.edu website,US,42,29,15,39,20
Caucasian (Indian),21,0,0,1,Test Website,IN,32,39,22,42,30
Caucasian (European),21,1,1,1,Test Website,US,45,26,23,31,33
Mixed Race,48,1,0,0,Other Source,PH,34,48,24,43,43
Mixed Race,23,0,0,1,Google,PH,40,40,13,23,13
Caucasian (Indian),34,0,1,0,Test Website,LK,41,23,18,36,12
Caucasian (European),35,0,1,1,Google,US,42,22,23,31,34
Caucasian (European),27,1,0,1,Other Source,US,34,39,17,32,29
Caucasian (European),20,1,1,1,Test Website,US,28,33,17,38,34
Mixed Race,22,0,1,1,Test Website,ID,39,35,32,39,38
Mixed Race,20,0,0,2,Test Website,PH,40,37,23,41,41
Caucasian (European),44,0,1,1,Test Website,GR,37,33,17,34,24
Caucasian (European),21,1,1,1,Test Website,US,43,37,25,36,21
Caucasian (European),21,1,0,1,Test Website,AU,43,28,23,47,37
Mixed Race,18,1,0,1,Test Website,US,34,24,23,43,21
Caucasian (European),50,1,1,1,Google,AU,46,25,34,30,26
Mixed Race,25,0,1,1,Google,MY,43,35,42,42,29
Caucasian (European),31,0,0,1,Google,US,35,38,23,42,38
Mixed Race,22,0,1,1,Test Website,US,41,35,34,37,28
Mixed Race,22,0,0,1,Test Website,IN,32,30,30,44,15
Caucasian (Middle East),39,0,1,0,Google,AE,40,39,23,42,36
Caucasian (Indian),24,0,0,1,Test Website,IN,35,36,14,33,21
Mixed Race,49,1,0,1,Test Website,HK,38,45,19,39,46
Caucasian (Indian),28,1,0,0,Test Website,IN,37,43,29,46,13
Caucasian (Indian),27,0,0,1,Test Website,IN,44,48,18,34,27
Caucasian (European),35,0,0,0,Test Website,DK,42,25,23,46,34
Caucasian (European),22,1,1,1,Test Website,US,41,19,11,41,26
Caucasian (European),36,1,0,1,Test Website,US,46,29,26,44,25
Caucasian (European),39,1,1,0,Test Website,GB,45,32,40,37,27
Mixed Race,18,0,0,1,Test Website,PH,34,36,24,34,21
Mixed Race,27,0,1,1,Other Source,VN,41,38,25,41,37
Caucasian (Indian),31,1,1,1,Test Website,IN,41,25,40,38,31
Caucasian (European),40,1,1,1,Test Website,AU,36,36,27,38,29
Caucasian (European),14,1,0,1,Test Website,AU,32,23,33,42,33
Caucasian (European),20,1,0,1,Test Website,US,38,25,15,40,23
Caucasian (Indian),18,0,1,1,Test Website,IN,28,22,28,35,29
Mixed Race,17,0,0,1,Test Website,PH,48,29,32,20,20
Caucasian (Indian),44,0,0,1,Test Website,IN,33,25,22,35,27
Caucasian (North African),18,1,1,1,Google,US,41,18,20,34,32
Caucasian (European),37,1,1,0,Test Website,AU,36,39,20,38,17
Mixed Race,32,0,0,1,Other Source,VN,33,40,28,35,34
Mixed Race,20,1,0,1,Other Source,US,37,35,19,42,28
Caucasian (European),34,1,0,1,Test Website,CA,48,23,42,50,31
Caucasian (European),13,1,3,2,Google,US,35,33,15,35,18
Caucasian (European),47,1,0,1,Google,CA,41,37,31,47,44
Caucasian (European),71,0,1,1,Test Website,CN,33,34,22,42,26
Mixed Race,13,0,0,1,Test Website,SG,45,29,33,48,36
Caucasian (Indian),15,0,0,1,Test Website,IN,41,37,33,40,19
Mixed Race,22,0,0,1,Google,GB,21,28,35,47,37
Mixed Race,41,1,1,1,Test Website,US,42,46,24,35,37
Caucasian (European),21,0,1,1,Test Website,SE,40,42,11,16,34
Caucasian (European),45,1,0,1,Test Website,CA,40,34,31,42,31
Mixed Race2,16,1,0,1,Test Website,GB,31,23,31,20,28
Caucasian (European),16,0,0,1,Test Website,RO,25,31,10,28,22
Caucasian (European),15,1,1,1,Test Website,AU,35,17,9,42,23
Mixed Race,40,1,0,1,Google,US,35,43,30,47,39
Caucasian (European),17,0,1,1,Test Website,RO,40,29,16,42,21
Mixed Race,29,0,0,1,Other Source,PH,35,38,28,39,37
Caucasian (European),40,1,1,1,Test Website,US,45,49,37,22,49
Mixed Race,14,0,0,1,Test Website,US,45,29,39,39,25
Caucasian (European),22,1,0,1,Google,US,42,24,23,44,27
Caucasian (European),15,1,1,1,Test Website,IE,39,39,41,26,24
Mixed Race,24,0,0,1,Google,IN,26,19,30,28,26
Mixed Race,13,1,1,1,Facebook,SG,24,28,26,37,34
Mixed Race,19,0,1,0,Other Source,PH,49,37,38,44,20
Mixed Race,24,0,1,1,Test Website,IN,37,42,31,36,26
Mixed Race,33,1,1,0,Other Source,US,41,28,17,36,49
Caucasian (European),21,1,0,1,Other Source,US,37,38,32,49,32
Caucasian (European),55,1,1,1,Test Website,US,45,42,31,40,17
Caucasian (European),25,1,1,2,Test Website,GB,46,43,25,38,48
Caucasian (European),22,1,1,1,Google,IE,35,35,34,43,30
Caucasian (European),24,1,0,1,Other Source,US,40,37,15,39,22
Caucasian (Indian),34,0,1,1,Test Website,IN,35,35,18,29,16
Mixed Race,15,1,0,1,Test Website,DE,39,12,17,18,29
Caucasian (European),20,1,1,1,Google,US,43,37,28,37,29
Caucasian (European),45,1,1,1,Other Source,US,34,35,36,33,47
Mixed Race,16,1,1,0,Test Website,US,37,32,26,29,34
Caucasian (European),25,1,1,1,Test Website,US,34,39,35,41,39
